ID,Name,Begin date,Duration,Predecessors,Resources
1,Definición del Alcance y Objetivos,2026-01-15,2,,Jefe de proyecto (Ruben)
2,Planificación del Cronograma (WBS),2026-01-17,2,1,Planificador (Fabian)
3,Recolección de Requisitos del Gemelo Digital,2026-01-19,3,2,Analista (Fabian)
4,Diseño de Arquitectura del Sistema (Microservicios vs Monolito),2026-01-22,2,3,Arquitecto (Ruben)
5,Configuración del Repositorio Git y CI/CD,2026-01-24,1,4,Gestión de la configuración (Ruben)
6,Diseño de Base de Datos (Series Temporales/Relacional),2026-01-25,2,4,Arquitecto (Ruben)
7,Obtención de Dataset Histórico (Solar/Consumo),2026-01-27,3,3,Analista (Fabian)
8,Limpieza y Normalización de Datos (ETL),2026-01-30,3,7,Analista (Fabian)
9,Entrenamiento Modelo Predictivo Producción Solar,2026-02-02,4,8,Programador (Ruben)
10,Entrenamiento Modelo Predictivo Consumo,2026-02-06,4,8,Programador (Ruben)
11,Evaluación y Ajuste de Modelos (Metrics),2026-02-10,2,9;10,Analista (Fabian)
12,Exportación de Modelos (Pickle/ONNX),2026-02-12,1,11,Programador (Ruben)
13,Inicialización de Proyecto FastAPI,2026-02-13,1,5,Programador (Ruben)
14,Desarrollo de Endpoints de Autenticación (JWT),2026-02-14,2,13,Programador (Ruben)
15,Integración de API Externa del Clima,2026-02-16,2,13,Programador (Ruben)
16,Desarrollo de API de Ingesta de Datos Tiempo Real,2026-02-18,3,6;13,Programador (Ruben)
17,Integración de Modelos ML en FastAPI,2026-02-21,2,12;16,Programador (Ruben)
18,Creación de Endpoints de Estadísticas/Análisis,2026-02-23,3,17,Programador (Ruben)
19,Diseño de UI/UX (Wireframes Dashboard),2026-02-13,3,3,Diseñador (Fabian)
20,Inicialización de Proyecto Next.js,2026-02-16,1,5,Programador (Fabian)
21,Maquetación de Componentes Base y Layout,2026-02-17,3,19;20,Diseñador (Fabian)
22,Integración de Gráficos (Chart.js/D3) Tiempo Real,2026-02-20,4,21,Programador (Fabian)
23,Conexión Frontend con API Clima y Predicciones,2026-02-24,3,15;17;22,Programador (Fabian)
24,Desarrollo de Panel de Control de la Microred,2026-02-27,3,23,Programador (Fabian)
25,Pruebas Unitarias Backend (Pytest),2026-03-02,3,18,Probador (Fabian)
26,Pruebas Unitarias Frontend (Jest/Cypress),2026-03-02,3,24,Probador (Fabian)
27,Pruebas de Integración (End-to-End),2026-03-05,4,25;26,Probador (Fabian)
28,Validación de Predicciones vs Datos Reales,2026-03-09,2,27,Analista (Fabian)
29,Optimización y Refactorización de Código,2026-03-11,2,27,Arquitecto (Ruben)
30,Preparación de Servidor de Producción,2026-03-13,2,29,Gestión de la configuración (Ruben)
31,Despliegue de Backend y Modelos,2026-03-15,1,30,Gestión de la configuración (Ruben)
32,Despliegue de Frontend Next.js,2026-03-15,1,30,Gestión de la configuración (Ruben)
33,Redacción de Manual de Usuario y Documentación Técnica,2026-03-16,3,31;32,Analista (Fabian)
34,Cierre del Proyecto y Entrega Final,2026-03-19,1,33,Jefe de proyecto (Ruben)
